Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
caja-24-velas-aromaticas-surtidas,Caja 24 Velas Aromáticas Surtidas en Frasco de Vidrio,"Velas aromáticas elaboradas con cera de soya natural e infundidas con aceites esenciales premium. Presentación mayorista en caja de 24 piezas surtidas en fragancias relajantes como Lavanda, Vainilla, Brisa Marina y Frutos Rojos.",Importaciones La Llamarada,Hogar,Hogar,"Hogar, Decoración, Velas, Mayoreo",TRUE,Title,Default Title,LL-HOG-001,1000,shopify,100,deny,manual,480.00,600.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/prod-candles.png,active
lote-12-lamparas-led-recargables,Lote 12 Lámparas LED Recargables de Noche con Sensor,"Lámparas nocturnas inteligentes con sensor de movimiento corporal y batería de litio recargable por USB. Ideales para pasillos, recámaras y closets. Paquete mayorista de 12 piezas.",Importaciones La Llamarada,Hogar,Hogar,"Hogar, Iluminación, Mayoreo",TRUE,Title,Default Title,LL-HOG-002,1000,shopify,100,deny,manual,660.00,800.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/new-more-2.png,active
caja-36-difusores-aroma-ultrasonicos,Caja 36 Difusores de Aroma Ultrasónicos USB Luz LED,Humidificadores y difusores de aroma silenciosos con capacidad de 300ml y secuencias de luz LED ambiental en 7 colores. Caja mayorista de 36 piezas surtidas.,Importaciones La Llamarada,Hogar,Hogar,"Hogar, Difusores, Mayoreo",TRUE,Title,Default Title,LL-HOG-003,1000,shopify,100,deny,manual,3060.00,3600.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/new-more-1.png,active
set-50-ganchos-terciopelo-antideslizantes,Set 50 Ganchos de Terciopelo Antideslizantes Ultra Delgados,Ganchos organizadores de ropa forrados en terciopelo suave que previene caídas y deforma de prendas. Gancho giratorio de cromo 360 grados. Paquete mayorista de 50 piezas.,Importaciones La Llamarada,Hogar,Hogar,"Hogar, Organización, Mayoreo",TRUE,Title,Default Title,LL-HOG-004,1000,shopify,100,deny,manual,225.00,300.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/new-trend-3.png,active
caja-50-squishies-surtidos-antiestres,Caja 50 Squishies Surtidos Anti-Estrés Figuras Kawaii,Colección mayorista de 50 juguetes sensoriales suavecitos y de lento retorno (slow rising) en formas de animalitos y postres kawaii. Empacados individualmente.,Importaciones La Llamarada,Juguetes,Juguetes,"Juguetes, Squishy, Novedades, Mayoreo",TRUE,Title,Default Title,LL-JUG-001,1000,shopify,100,deny,manual,350.00,450.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/new-trend-4.png,active
lote-24-vasos-foco-neon-fiesta,Lote 24 Vasos Foco Neón con Sorbete y Luz Led,"Divertidos vasos transparentes en forma de bombilla con colores neón radiantes y popote reusable. Perfectos para fiestas, graduaciones y eventos especiales. Lote de 24 piezas.",Importaciones La Llamarada,Juguetes,Juguetes,"Juguetes, Novedades, Fiesta, Mayoreo",TRUE,Title,Default Title,LL-JUG-002,1000,shopify,100,deny,manual,1080.00,1440.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/new-hero-vasos.png,active
caja-30-pop-it-fidget-toys-surtidos,Caja 30 Pop It Fidget Toys Figuras Surtidas Colores Arcoíris,"Juguetes sensoriales burbujeantes de silicona lavable y duradera. Diseños variados de dinosaurios, unicornios y figuras geométricas. Caja con 30 unidades.",Importaciones La Llamarada,Juguetes,Juguetes,"Juguetes, Fidget, Mayoreo",TRUE,Title,Default Title,LL-JUG-003,1000,shopify,100,deny,manual,540.00,720.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/prod-cups.png,active
lote-12-vasos-vidrio-kawaii-perlas-bambu,"Lote 12 Vasos Vidrio Kawaii con Perlas, Popote y Tapa Bambú","Hermosos vasos de borosilicato resistente a bebidas frías y calientes, adornados con relieves de perlas y tapas sustentables de bambú natural. Lote de 12 piezas.",Importaciones La Llamarada,Cocina,Cocina,"Cocina, Termos, Kawaii, Mayoreo",TRUE,Title,Default Title,LL-COC-001,1000,shopify,100,deny,manual,840.00,1080.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/prod-cups.png,active
caja-16-sets-12-utensilios-silicona-cocina,Caja 16 Sets 12 Utensilios Silicona Cocina Antiadherente,Juegos completísimos de cocina con cabezales de silicona resistente al calor (hasta 230°C) y mangos ergonómicos de madera. Incluyen cubeta organizadora. Caja de 16 sets.,Importaciones La Llamarada,Cocina,Cocina,"Cocina, Utensilios, Silicona, Mayoreo",TRUE,Title,Default Title,LL-COC-002,1000,shopify,100,deny,manual,1920.00,2400.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/new-trend-1.png,active
lote-20-molinos-electricos-especias-inox,Lote 20 Molinos Eléctricos de Especias en Acero Inoxidable,Molinillos automáticos de pimienta y sal con núcleo de cerámica ajustable y luz LED integrada. Operables con una sola mano. Lote de 20 piezas.,Importaciones La Llamarada,Cocina,Cocina,"Cocina, Electrodomésticos, Mayoreo",TRUE,Title,Default Title,LL-COC-003,1000,shopify,100,deny,manual,3600.00,4400.00,TRUE,TRUE,https://raw.githubusercontent.com/JorgeVexus/Importaciones-llamarada/main/assets/new-more-5.png,active
